,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,y_test,y_pred
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6114399
4247,0.0,0.80515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.619309
3338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72804,0.0,0.0,0.0,1.0,0.82933694
1334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75993,0.0,0.0,0.0,0.0,1.0,0.8138894
4320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.53985184
3474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49889,0.0,0.0,0.0,1.0,0.7121836
3774,0.0,0.0,0.0,0.0,0.0,0.0,0.89906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0537243
4594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80817,0.0,0.0,0.37945,0.0,0.0,0.0,0.0,0.0,0.60084134
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53079695
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34312,0.0,0.0,0.0,0.0,0.70489,0.0,0.0,0.0,0.0,1.0,0.77401245
1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538449
1012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49798903
1760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.57267433
493,0.0,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62241,0.0,0.0,0.0,0.0,1.0,0.4213081
4210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51919,0.56938,0.0,0.0,0.0,0.0,0.0,0.0,0.38947645
753,0.0,0.82545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6255819
718,0.0,0.0,0.0,0.0,0.0,0.48108,0.0,0.0,0.0,0.85547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24540697
1184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394564
3668,0.0,0.0,0.0,0.0,0.0,0.4592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17416371
1291,0.0,0.78608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6134162
796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.52109545
624,0.0,0.0,0.0,0.0,0.0,0.0,0.89232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0490594
4757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47270116
712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4973009
4846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68463,0.0,0.0,0.0,1.0,0.8069648
4424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25471,0.0,0.0,0.62678,0.0,0.0,0.0,0.0,1.0,0.72804654
727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5957486
1795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56208366
4039,0.0,0.0,0.0,0.0,0.0,0.84597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10407943
2136,0.0,0.0,0.0,0.0,0.0,0.0,0.89143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0484434
4017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204175
2519,0.0,0.0,0.0,0.0,0.0,0.0,0.90339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0567211
2607,0.0,0.0,0.0,0.0,0.0,0.56055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14720914
1312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37238,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48579606
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45294237
630,0.0,0.0,0.0,0.0,0.77471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72593,0.0,0.0,0.18803951
4290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84774,0.0,0.0,0.0,0.0,1.0,0.8556133
4881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.44569296
2424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28945,0.0,0.0,0.0,1.0,0.6154283
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27835,0.0,0.61769,0.74059,0.86986,0.0,0.914,0.0,0.0,0.0,0.0,0.48122805
1323,0.0,0.0,0.0,0.0,0.0,0.84937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10365574
4069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49595568
290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5269642
2779,0.0,0.77506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6100108
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5565888
3143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87077,0.82127,0.87077,0.0,0.0,0.0,0.0,0.0,0.0,0.2672284
2484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56148,0.0,0.0,0.0,0.0,0.74349725
2526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5173384
1518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44336718
1147,0.89407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5251959
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5718494
1585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5959522
4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46896,0.0,0.0,0.0,0.0,0.0,0.3748,0.0,0.0,0.0,1.0,0.6476811
1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.50256544
2793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2836,0.0,0.0,0.0,1.0,0.6130679
4616,0.0,0.0,0.0,0.0,0.0,0.0,0.88738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0456403
2863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512128
1154,0.0,0.78536,0.0,0.0,0.0,0.0,0.0,0.69889,0.0,0.88548,0.85929,0.44696,0.0,0.0,0.0,0.0,0.0,0.0,0.61978143
574,0.0,0.75313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60323423
354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49023902
970,0.0,0.0,0.0,0.0,0.0,0.36806,0.0,0.0,0.0,0.36615,0.73838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38860962
255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87958,0.90464,0.36679,0.0,0.0,0.0,0.0,0.0,0.0,0.46292177
4747,0.0,0.0,0.0,0.0,0.86022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3462314
4028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49151,0.0,0.0,0.0,0.0,1.0,0.68876964
4797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47972,0.46167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44750425
3018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92171,0.0,0.0,0.2763678
960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54816,0.68166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43550244
4372,0.0,0.0,0.0,0.75641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87098,0.0,0.0,0.0,1.0,0.4604733
4263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70676,0.0,0.0,0.0,0.0,1.0,0.788624
4165,0.0,0.77594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6102828
130,0.0,0.0,0.0,0.0,0.0,0.0,0.74423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9461644
2929,0.0,0.7977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61700684
3298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89225,0.0,0.0,0.0,0.0,0.0,0.87737066
2911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53600407
1660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40092,0.32273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46138048
2132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6181903
662,0.0,0.0,0.0,0.0,0.0,0.75364,0.0,0.62047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25764078
1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4499598
953,0.0,0.0,0.0,0.0,0.0,0.71638,0.0,0.0,0.0,0.0,0.79115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21606314
