,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,y_test,y_pred
51208,0.0,0.0,0.0,0.83588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81081,0.58797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
44327,0.76077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
96095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393,0.0,0.85578,0.8286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91447,0.78166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2
107398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
101817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
39629,0.0,0.0,0.0,0.83167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
54460,0.0,0.0,0.0,0.0,0.0,0.0,0.90485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
56083,0.0,0.75202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3
9133,0.0,0.0,0.0,0.0,0.0,0.0,0.82879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
48775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75438,0.0,0.0,0.0,1.0,1.0
99807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445
53892,0.0,0.0,0.0,0.81562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2553,0.0,0.0,0.0,0.0,0.0,0.0,0.82851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
97792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6
31351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92036,0.91485,0.91538,0.0,0.48578,0.0,0.0,0.0,0.0,0.1
74493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61895,0.0,0.76151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
29367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68887,0.0,0.0,0.0,0.0,0.0,0.31248,0.0,0.0,0.0,1.0,0.6
68344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81144,0.0,0.0,0.0
9881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
36570,0.76558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
96474,0.0,0.82741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
14298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2628,0.0,0.0,0.0,1.0,0.5
94652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
67462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
63844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76348,0.51256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
117748,0.0,0.0,0.0,0.0,0.0,0.0,0.69671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
99705,0.0,0.0,0.0,0.0,0.0,0.0,0.84811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
95297,0.0,0.0,0.0,0.0,0.0,0.45575,0.0,0.0,0.0,0.0,0.0,0.92042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76113,0.0,0.85243,0.0,0.0,0.0,0.0,0.7
56449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4709,0.47026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
95850,0.0,0.0,0.0,0.0,0.0,0.0,0.8321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
56650,0.0,0.0,0.0,0.0,0.0,0.68693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53017,0.0,0.0,0.1
24206,0.0,0.0,0.8047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89985,0.89985,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
111673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
90654,0.0,0.0,0.0,0.0,0.0,0.70667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8461,0.0,0.0,0.0,0.0,0.0,0.0,0.87776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3217,0.0,0.0,0.0,0.0,0.0,0.90059,0.0,0.0,0.0,0.55085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
21174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31498,0.0,0.0,0.0,0.0,1.0,0.9
62277,0.0,0.0,0.0,0.0,0.0,0.72504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
42613,0.0,0.0,0.0,0.0,0.0,0.0,0.57732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
100490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52259,0.0,0.0,0.0,0.0,1.0,0.9
112384,0.0,0.81694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
37083,0.0,0.0,0.0,0.80524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61395,0.0,0.85064,0.0,0.0,0.83392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82313,0.0,0.0,0.0,0.0,0.0,0.0,0.79021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
87771,0.0,0.0,0.0,0.0,0.0,0.0,0.8968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
110939,0.0,0.76253,0.0,0.0,0.0,0.0,0.0,0.88111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
107214,0.0,0.0,0.0,0.0,0.0,0.0,0.86655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
101282,0.79005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
58131,0.0,0.75406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337
30647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51285,0.58968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6
72461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83087,0.0,0.0,0.2
92565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68896,0.87981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36224,0.0,0.0,0.0,0.79501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
22098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85359,0.0,0.35411,0.0,0.0,0.0,0.0,0.0,1.0,0.3
5713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81031,0.0,0.0,0.0,0.0,1.0
98609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74581,0.0,0.0,0.0,0.0,1.0,1.0
96361,0.0,0.0,0.0,0.0,0.0,0.0,0.78411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
60501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
86316,0.0,0.0,0.0,0.0,0.0,0.0,0.9318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
57179,0.0,0.0,0.0,0.0,0.0,0.26318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
30893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
49107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
88723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49505,0.74368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
45988,0.89044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23904,0.0,0.0,0.0,0.0,0.0,0.0,0.6315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
75805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42599,0.0,0.0,0.71456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
