,Bedroom,Dinning,Livingroom,Bathroom,Kitchen,bench,surfboard,chair,couch,potted plant,bed,dining table,toilet,tv,refrigerator,y_test,y_pred
15036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31844,0.0,0.0,1.0
12453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62816,0.53445,0.0,0.64572,0.81775,0.0,0.0,0.0,0.0,0.5
5517,0.0,0.75546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67715,0.0,0.0,0.0
101401,0.0,0.0,0.0,0.0,0.0,0.71865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
34388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75507,0.0,0.0,0.0,0.0,1.0,1.0
113297,0.0,0.0,0.0,0.0,0.0,0.27434,0.0,0.66477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19306,0.0,0.75791,0.0,0.0,0.0,0.0,0.0,0.86546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
32071,0.0,0.0,0.0,0.0,0.0,0.52014,0.0,0.0,0.78713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32918,0.0,0.0,0.0,0.0,0.0,0.67096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94846,0.0,0.0,0.0,0.86944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
104624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48693,0.0,0.0,0.0,1.0,1.0
113639,0.0,0.0,0.0,0.0,0.0,0.88543,0.0,0.0,0.0,0.46879,0.0,0.0,0.0,0.0,0.0,0.0,0.7
48103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67978,0.0,0.77114,0.0,0.8965,0.0,0.0,0.0,0.0,0.0
63887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7713,0.87327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
98191,0.0,0.0,0.0,0.75847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
113004,0.0,0.0,0.0,0.0,0.0,0.0,0.64746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86269,0.0,0.0,0.0,1.0,1.0
52321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90019,0.0,0.0,0.34306,0.0,0.0,0.0,0.0,1.0,0.2
27658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75742,0.0,0.0,0.0,0.0,1.0
97762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66595,0.0,0.0,0.0,1.0,1.0
86280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
32214,0.0,0.0,0.0,0.0,0.0,0.89177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72474,0.0,0.0,0.0,1.0,0.4
43978,0.0,0.0,0.0,0.0,0.0,0.83886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25351,0.0,0.0,1.0
97276,0.0,0.0,0.0,0.0,0.0,0.0,0.44648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
65370,0.0,0.0,0.0,0.0,0.0,0.43231,0.0,0.86651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
