,Bedroom,Dinning,Livingroom,Bathroom,Kitchen,bench,snowboard,surfboard,chair,couch,potted plant,bed,dining table,tv,refrigerator,y_test,y_pred
94091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
107709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83828,0.0,0.0,1.0,1.0
79352,0.77515,0.0,0.0,0.0,0.0,0.88136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9
44027,0.0,0.0,0.0,0.0,0.0,0.91152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72348,0.0,0.0,0.0,0.0,0.0,1.0,0.6
2153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78899,0.0,0.0,0.0,1.0
50515,0.82608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87875,0.0,0.0,1.0,0.6
69444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
113266,0.0,0.0,0.0,0.78516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82138,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
59788,0.0,0.75593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33057,0.0,0.0,0.0,1.0,1.0
24635,0.0,0.0,0.0,0.0,0.0,0.0,0.79684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
68474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85388,0.0,0.0,1.0,1.0
99619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78482,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6741,0.0,0.0,0.0,0.0,0.0,0.87059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
