,Bedroom,Dinning,Livingroom,Bathroom,Kitchen,bench,snowboard,surfboard,chair,couch,potted plant,bed,dining table,y_test,y_pred
2291,0.0,0.0,0.0,0.0,0.0,0.54959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22312,0.0,0.0,0.0,0.0,0.0,0.89586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7917,0.0,0.0,0.0,0.0,1.0,0.0
101102,0.75335,0.0,0.0,0.0,0.0,0.49752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
64907,0.0,0.0,0.79233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
93299,0.0,0.0,0.0,0.0,0.0,0.0,0.88579,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
116774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82702,1.0,1.0
89522,0.0,0.0,0.78091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
65421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84024,1.0,1.0
91647,0.0,0.0,0.0,0.0,0.0,0.0,0.8874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
61365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73785,0.0,0.0,0.0,0.0,0.0,0.1
2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28457,0.0,1.0,1.0
92252,0.0,0.83598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
32754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87024,0.0,0.0,0.0,1.0,1.0
95193,0.0,0.0,0.0,0.0,0.0,0.0,0.76945,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
76915,0.0,0.0,0.87605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52123,0.0,0.0,0.0,0.0,1.0,0.4
16805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46795,1.0,0.8
52046,0.0,0.0,0.79864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
