,Bedroom,Dinning,Livingroom,Bathroom,bench,snowboard,chair,couch,potted plant,bed,dining table,y_test,y_pred
114447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89078,0.0,0.0,0.0,1.0,1.0
25889,0.0,0.0,0.0,0.0,0.0,0.53716,0.0,0.0,0.0,0.0,0.0,1.0,1.0
21987,0.0,0.0,0.0,0.0,0.0,0.32821,0.0,0.0,0.0,0.0,0.0,1.0,1.0
89534,0.0,0.7676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
100416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86205,1.0,0.9
62742,0.0,0.0,0.78714,0.0,0.0,0.0,0.0,0.0,0.0,0.51936,0.0,1.0,0.8
25276,0.0,0.0,0.0,0.0,0.26769,0.0,0.0,0.0,0.88176,0.0,0.0,0.0,0.2
36645,0.0,0.0,0.0,0.0,0.61053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
87239,0.0,0.0,0.0,0.0,0.0,0.84324,0.0,0.0,0.0,0.0,0.0,1.0,1.0
100463,0.0,0.77788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23750,0.0,0.0,0.0,0.0,0.0,0.83609,0.0,0.0,0.0,0.0,0.0,1.0,1.0
27567,0.84382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58013,0.0,1.0,0.7
32656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93593,1.0,0.7
76103,0.0,0.0,0.0,0.0,0.0,0.83061,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7202,0.0,0.82166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63095,0.0,0.0,0.0,0.0,0.0,0.87779,0.0,0.0,0.0,0.0,0.0,1.0,1.0
26579,0.0,0.0,0.0,0.0,0.0,0.0,0.48793,0.0,0.0,0.0,0.0,0.0,0.7
108312,0.0,0.0,0.0,0.0,0.58129,0.0,0.0,0.82057,0.0,0.0,0.0,0.0,0.2
60846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76476,0.0,0.0,0.0,0.9
90666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70255,0.8114,0.0,0.0,1.0,0.7
99444,0.0,0.0,0.0,0.0,0.0,0.80703,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10353,0.0,0.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
75681,0.0,0.0,0.0,0.0,0.0,0.0,0.84805,0.0,0.0,0.3463,0.0,0.0,0.8
88497,0.0,0.75161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3
14262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54003,0.0,1.0,0.1
103104,0.0,0.0,0.0,0.0,0.73003,0.0,0.70757,0.0,0.0,0.0,0.0,0.0,0.5
65495,0.0,0.0,0.0,0.0,0.0,0.0,0.83586,0.0,0.0,0.0,0.0,1.0,0.0
42220,0.75361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
70090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61099,1.0,1.0
32092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69332,1.0,1.0
