,Bedroom,Dinning,Livingroom,Bathroom,Kitchen,snowboard,chair,couch,potted plant,bed,dining table,y_test,y_pred
33130,0.0,0.76103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.425
16791,0.0,0.0,0.0,0.85467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46819,0.0,0.0,0.0,0.80793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
78980,0.0,0.0,0.0,0.0,0.0,0.0,0.86023,0.0,0.0,0.0,0.0,1.0,0.3
47695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63237,0.0,1.0,1.0
81740,0.0,0.0,0.0,0.0,0.0,0.0,0.86712,0.0,0.0,0.0,0.0,0.0,0.5
95617,0.0,0.0,0.0,0.0,0.0,0.83913,0.0,0.0,0.0,0.0,0.0,1.0,1.0
90069,0.87829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
62531,0.0,0.0,0.0,0.0,0.0,0.87688,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57488,0.0,0.3
71970,0.0,0.0,0.0,0.0,0.0,0.0,0.9112,0.0,0.0,0.62019,0.0,1.0,1.0
7247,0.0,0.0,0.0,0.0,0.0,0.86257,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3801,0.0,0.81145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
87723,0.0,0.78956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
49812,0.0,0.0,0.0,0.0,0.0,0.0,0.87738,0.928,0.74183,0.0,0.0,0.0,0.2
102682,0.0,0.0,0.0,0.0,0.0,0.89359,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5581,0.0,0.0,1.0
96842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79984,1.0,0.0
21441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90793,1.0,1.0
74707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42317,1.0,1.0
59788,0.0,0.75593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98530,0.0,0.0,0.0,0.77917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4
34252,0.0,0.0,0.0,0.0,0.0,0.8877,0.0,0.0,0.0,0.0,0.0,1.0,1.0
26160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35054,1.0,1.0
58144,0.0,0.0,0.0,0.0,0.0,0.0,0.88023,0.0,0.0,0.0,0.0,0.0,1.0
54521,0.0,0.0,0.0,0.0,0.0,0.34981,0.0,0.0,0.0,0.0,0.0,1.0,1.0
41249,0.0,0.0,0.0,0.0,0.0,0.0,0.7973,0.0,0.0,0.0,0.0,0.0,0.7
72443,0.0,0.0,0.0,0.89491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27060,0.0,0.0,0.0,0.0,0.0,0.0,0.65316,0.4679,0.0,0.0,0.0,0.0,0.3
11251,0.0,0.0,0.0,0.0,0.0,0.0,0.43768,0.91642,0.0,0.0,0.0,1.0,0.7
87700,0.0,0.0,0.0,0.78044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
77587,0.0,0.0,0.0,0.0,0.0,0.0,0.68915,0.0,0.0,0.0,0.0,1.0,0.9
36552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43683,0.0,0.0,0.0,1.0,0.8
31743,0.75925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24537,0.0,0.0,0.0,0.0,0.0,0.0,0.27935,0.25618,0.0,0.0,0.0,1.0,0.1
32102,0.0,0.0,0.0,0.0,0.0,0.84987,0.0,0.0,0.0,0.0,0.0,1.0,1.0
60862,0.0,0.0,0.0,0.0,0.0,0.88367,0.0,0.0,0.0,0.0,0.0,1.0,1.0
64780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71706,0.0,0.0,0.0,1.0,0.9
93953,0.0,0.0,0.8373,0.0,0.0,0.0,0.28944,0.0,0.0,0.82964,0.0,1.0,0.4
64094,0.0,0.0,0.0,0.0,0.0,0.0,0.85282,0.0,0.90108,0.0,0.0,0.0,0.0
31321,0.0,0.76284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21666666666666665
16003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74457,0.0,1.0,0.5
15533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4789,1.0,1.0
69844,0.0,0.0,0.0,0.0,0.0,0.0,0.73885,0.0,0.0,0.0,0.0,0.0,0.3
42127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33361,0.0,1.0,0.4
26258,0.0,0.0,0.0,0.0,0.0,0.86638,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1680,0.0,0.0,0.0,0.0,0.0,0.0,0.34946,0.0,0.79307,0.0,0.49818,0.0,0.2
19880,0.0,0.0,0.0,0.0,0.0,0.83681,0.0,0.0,0.0,0.0,0.0,1.0,1.0
76303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51939,0.0,1.0
87591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74239,0.93709,0.31382,0.48162,0.0,0.1
65230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40542,0.0,1.0,0.9
24525,0.0,0.0,0.0,0.0,0.0,0.91894,0.0,0.0,0.0,0.0,0.0,1.0,1.0
33200,0.0,0.0,0.0,0.88121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76186,0.0,0.0,0.0,0.0,0.0,0.0,0.79651,0.0,0.0,0.0,0.0,1.0,1.0
110497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092,0.0,0.0,0.0,0.0,0.9
83026,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
18272,0.0,0.0,0.0,0.0,0.0,0.90065,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3474,0.0,0.0,0.0,1.0,1.0
22002,0.0,0.0,0.0,0.77036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
5113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89942,0.0,0.0,0.9
76916,0.0,0.0,0.0,0.0,0.0,0.0,0.83133,0.0,0.0,0.894,0.0,1.0,1.0
47319,0.0,0.0,0.0,0.0,0.0,0.0,0.25548,0.0,0.0,0.0,0.0,1.0,0.5
66010,0.0,0.0,0.0,0.0,0.0,0.0,0.43931,0.0,0.0,0.0,0.0,0.0,0.8
42795,0.0,0.77624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
81265,0.0,0.78813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3
88569,0.0,0.0,0.0,0.81326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75372,0.0,1.0
90690,0.0,0.78407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
42733,0.0,0.0,0.0,0.0,0.0,0.0,0.70068,0.88875,0.88336,0.0,0.0,1.0,0.1
20553,0.0,0.0,0.0,0.0,0.0,0.84316,0.0,0.0,0.0,0.0,0.0,1.0,1.0
107592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87137,0.0,0.0,0.40407,1.0,0.8
3511,0.0,0.0,0.0,0.0,0.0,0.83342,0.0,0.0,0.0,0.0,0.0,1.0,1.0
67136,0.0,0.0,0.0,0.0,0.81521,0.0,0.86751,0.0,0.0,0.0,0.0,1.0,0.4
34962,0.0,0.0,0.0,0.81114,0.0,0.7846,0.0,0.0,0.0,0.0,0.0,1.0,1.0
93511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48666,0.0,0.0,0.0,0.0,0.9
55239,0.0,0.0,0.0,0.75826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
