,Bedroom,Dinning,Livingroom,Bathroom,Kitchen,bench,chair,couch,potted plant,bed,dining table,y_test,y_pred
88296,0.0,0.0,0.0,0.88731,0.0,0.0,0.40906,0.0,0.0,0.0,0.0,1.0,0.0
67226,0.0,0.0,0.0,0.0,0.0,0.0,0.49233,0.9133,0.47835,0.0,0.0,0.0,0.4225466042539214
99184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87352,0.49363,0.0,0.0,0.0,0.23237993758725467
72718,0.0,0.0,0.76668,0.0,0.0,0.0,0.88873,0.52364,0.0,0.0,0.0,0.0,0.24349260081882007
71112,0.0,0.0,0.0,0.0,0.0,0.5139,0.0,0.0,0.0,0.0,0.0,0.0,0.09850717281323366
59244,0.92168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11494722382880278
101551,0.0,0.0,0.0,0.0,0.0,0.0,0.36849,0.87486,0.87486,0.41113,0.0,0.0,0.06406048312742026
75622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5832,1.0,0.8700475734933402
33251,0.0,0.0,0.0,0.0,0.0,0.0,0.37565,0.47507,0.0,0.0,0.0,0.0,0.5429676192808074
7415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82779,0.0,0.0,0.0,1.0,0.7395072823192816
110137,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.549274359383163
2541,0.0,0.0,0.0,0.0,0.0,0.7596,0.0,0.0,0.0,0.0,0.0,0.0,0.09057530540025613
4038,0.0,0.0,0.0,0.79164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08593169730925379
46537,0.0,0.75172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5377906214826624
55930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65772,0.88294,0.0,0.0,1.0,0.4173826777087646
93479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84895,0.0,1.0,0.8990969443396292
29694,0.0,0.0,0.0,0.0,0.0,0.0,0.86609,0.0,0.0,0.0,0.86125,1.0,0.5729715489989462
73616,0.0,0.0,0.0,0.0,0.0,0.0,0.84643,0.0,0.72277,0.0,0.0,1.0,0.6107142857142858
76646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92988,1.0,0.8494378109098504
60851,0.0,0.0,0.0,0.75016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21986219368195803
34607,0.0,0.0,0.0,0.0,0.0,0.0,0.54049,0.0,0.0,0.0,0.0,1.0,0.5359775877735873
112615,0.0,0.76566,0.0,0.0,0.0,0.0,0.0,0.90222,0.0,0.0,0.0,0.0,0.7374096709300653
107983,0.0,0.0,0.0,0.0,0.0,0.78175,0.0,0.0,0.0,0.0,0.0,0.0,0.06914833093909438
103377,0.0,0.0,0.0,0.0,0.0,0.0,0.83377,0.0,0.0,0.0,0.0,0.0,0.4053997175250544
4645,0.84863,0.0,0.0,0.0,0.0,0.0,0.0,0.45315,0.0,0.0,0.0,0.0,0.5973536775917785
10915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68602,0.0,0.0,0.0,1.0,0.6818868800894122
116786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46118,1.0,0.8712504847195837
102262,0.0,0.77685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5641906986922496
66922,0.0,0.0,0.0,0.0,0.0,0.0,0.92922,0.0,0.0,0.0,0.0,1.0,1.0
48862,0.0,0.0,0.0,0.0,0.0,0.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0852833417947891
26852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37188,0.0,0.0,0.0,1.0,0.5586136106919561
23336,0.0,0.0,0.0,0.0,0.0,0.0,0.54593,0.79595,0.65408,0.0,0.54593,1.0,0.5879150419472999
67804,0.89321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4646375150328378
55588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28327,0.0,1.0,0.5879554991198056
23354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9288,0.0,0.85478,0.0,0.0,0.1
72818,0.0,0.0,0.0,0.89728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97488,0.0,0.78764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519251864267373
35162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65955,0.0,0.0,0.0,1.0,0.7135675191912781
96266,0.0,0.0,0.0,0.0,0.0,0.49346,0.0,0.27599,0.0,0.0,0.0,0.0,0.08664623211793715
107360,0.0,0.0,0.0,0.0,0.0,0.0,0.34467,0.0,0.0,0.0,0.0,0.0,0.5568176462739595
21164,0.0,0.0,0.0,0.0,0.0,0.0,0.78474,0.0,0.0,0.0,0.0,0.0,0.513409182284481
27022,0.0,0.0,0.0,0.0,0.0,0.86142,0.0,0.0,0.0,0.0,0.0,0.0,0.09756664831077827
69756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40714,1.0,0.8631007924424345
95952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72552,0.75886,0.0,0.52825,1.0,0.8666666666666668
52568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90513,0.0,0.0,1.0
2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39411,1.0,0.8631007924424345
18230,0.0,0.7931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5519251864267373
114333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25256,1.0,0.8550536564778103
58796,0.77095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.44871581529295856
28118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72133,0.0,1.0,0.841438018018291
97355,0.0,0.0,0.0,0.0,0.0,0.0,0.38937,0.0,0.79801,0.0,0.0,0.0,0.16974765974765976
97021,0.0,0.0,0.0,0.0,0.0,0.0,0.65108,0.0,0.92182,0.0,0.0,0.0,0.123928238583411
27687,0.0,0.0,0.0,0.0,0.0,0.0,0.38876,0.0,0.0,0.0,0.0,0.0,0.6226311607078129
84632,0.0,0.0,0.0,0.78437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05697280735833057
74175,0.0,0.0,0.77751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31125700083448754
98093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80773,1.0,0.7981345616168016
90117,0.77408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4967158152929585
54945,0.0,0.0,0.0,0.0,0.0,0.84488,0.0,0.0,0.0,0.0,0.0,0.0,0.0852833417947891
65771,0.0,0.0,0.0,0.78812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06833365351272387
114986,0.0,0.0,0.0,0.0,0.0,0.85991,0.0,0.0,0.0,0.0,0.0,1.0,0.09756664831077827
107365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72842,0.0,1.0,0.8132328898131627
62628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89981,0.0,0.0,0.0,0.0,0.7374096709300653
55394,0.0,0.0,0.0,0.0,0.0,0.0,0.79602,0.0,0.0,0.0,0.0,1.0,0.5756314045067032
7765,0.0,0.0,0.0,0.0,0.0,0.90084,0.79296,0.0,0.0,0.0,0.0,0.0,0.028135614385614384
34433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53505,1.0,0.7824732785721108
31283,0.0,0.0,0.0,0.0,0.0,0.0,0.88612,0.91587,0.94169,0.0,0.54475,0.0,0.0
15218,0.0,0.0,0.0,0.83952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26102984349098934
74651,0.80898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4224839395381551
63138,0.0,0.0,0.0,0.77854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18021978869118213
24219,0.0,0.83283,0.0,0.0,0.0,0.0,0.87687,0.0,0.0,0.0,0.0,1.0,0.3049786513914454
106776,0.0,0.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5130105007635467
102663,0.75635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549274359383163
17724,0.0,0.0,0.80266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12576625669882485
28927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64741,0.79995,0.0,0.0,1.0,0.5944444444444444
23770,0.0,0.0,0.0,0.0,0.0,0.69482,0.42045,0.0,0.85164,0.0,0.0,0.0,0.01996521140759997
3993,0.0,0.0,0.0,0.75562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15995960707002926
77086,0.82374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45860832868775436
83166,0.0,0.0,0.0,0.0,0.0,0.0,0.90615,0.87056,0.87056,0.0,0.0,0.0,0.0
65039,0.78037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5487158152929585
37895,0.88517,0.0,0.0,0.0,0.0,0.66983,0.0,0.0,0.0,0.0,0.0,0.0,0.16307581017703807
94151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76548,0.0,0.0,0.0,1.0,0.6903949938757716
44855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35717,1.0,0.8468948822505042
30495,0.80563,0.0,0.80563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17057203806181515
60143,0.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66815,1.0,0.9324788964772817
25217,0.0,0.0,0.0,0.0,0.0,0.91471,0.0,0.0,0.0,0.0,0.0,0.0,0.05389715704279337
2327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52519,0.83074,0.0,0.0,0.0,0.3465367965367966
16260,0.0,0.0,0.0,0.0,0.0,0.0,0.76539,0.0,0.0,0.6361,0.0,1.0,0.8051574927099996
12763,0.0,0.0,0.0,0.81979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4068311238876479
2591,0.0,0.0,0.0,0.0,0.0,0.0,0.89072,0.0,0.0,0.5146,0.0,0.0,0.7751357329702401
75384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72285,1.0,0.8646488991562091
42877,0.0,0.0,0.0,0.0,0.0,0.0,0.86969,0.0,0.0,0.40204,0.0,0.0,0.6986920549592246
115415,0.0,0.0,0.0,0.0,0.0,0.53738,0.85028,0.26471,0.0,0.0,0.0,0.0,0.01048951048951049
88105,0.0,0.0,0.0,0.0,0.0,0.72119,0.0,0.0,0.0,0.0,0.0,0.0,0.053274854026130525
11799,0.0,0.0,0.0,0.0,0.0,0.81304,0.0,0.0,0.0,0.0,0.0,0.0,0.0817006698785301
109137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84501,1.0,0.9287840733049654
52242,0.83578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48452353149445376
41535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56584,1.0,0.8725691252174782
92848,0.0,0.0,0.78109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4383259663517289
73288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34459,0.0,1.0,0.5968311974788171
31948,0.0,0.0,0.0,0.0,0.0,0.0,0.67615,0.79635,0.0,0.0,0.0,0.0,0.6571860532933161
17569,0.0,0.0,0.0,0.0,0.75561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06556776556776557
77995,0.0,0.0,0.0,0.0,0.0,0.0,0.45467,0.0,0.0,0.0,0.0,1.0,0.5561225109854634
72932,0.0,0.75571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5377906214826624
77824,0.0,0.0,0.0,0.0,0.0,0.66969,0.0,0.0,0.0,0.0,0.0,0.0,0.08997567265690765
4777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49879,1.0,0.882662737722911
104818,0.0,0.0,0.0,0.8637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101562370561822
52173,0.0,0.80673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5130105007635467
105639,0.0,0.0,0.0,0.81732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18410385116037511
105603,0.0,0.0,0.0,0.0,0.0,0.64166,0.0,0.0,0.0,0.0,0.0,0.0,0.1032475847998026
41227,0.0,0.0,0.0,0.0,0.0,0.0,0.76973,0.8286,0.0,0.0,0.0,0.0,0.6464315568973029
63293,0.0,0.0,0.0,0.0,0.0,0.0,0.84255,0.81711,0.85198,0.85171,0.41357,1.0,0.2037735849056604
