,Bedroom,Dinning,Livingroom,Bathroom,Kitchen,bench,snowboard,skateboard,surfboard,chair,couch,potted plant,bed,dining table,toilet,tv,refrigerator,y_test,y_pred
74157,0.0,0.0,0.75123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40366292478814836
57361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33120160949581107
9610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50358,0.0,0.88057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5872692774741954
47898,0.0,0.0,0.0,0.0,0.0,0.38513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0824624809770155
86179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78775,0.0,0.45313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6480878027595455
75729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74331,0.0,0.0,0.0,0.65893,0.0,0.0,0.0,0.0,0.0,0.0,0.5360824402580702
65959,0.0,0.0,0.0,0.0,0.0,0.62217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09890000017342632
46916,0.0,0.75616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5405098957120857
115872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27852,0.28296,0.0,0.0,0.0,1.0,0.68729792147806
105807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3129270863247716
80334,0.0,0.0,0.0,0.84763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08573910526343213
7873,0.0,0.0,0.0,0.0,0.0,0.69839,0.0,0.0,0.0,0.0,0.44888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08525226480890247
96617,0.80695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5405098957120857
34325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72808,0.0,0.0,0.0,1.0,0.8854521415182385
24068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48558485755188335
73523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92849,0.0,0.0,0.0,1.0,0.8248425142632303
97515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5030296584353102
115988,0.0,0.0,0.0,0.0,0.0,0.0,0.92019,0.38758,0.0,0.92019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4532,0.0,0.0,0.0,0.0,0.0,0.74795,0.0,0.74563,0.0,0.0,0.28536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14100809509649198
442,0.0,0.0,0.0,0.0,0.0,0.0,0.60311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8981981981981981
108681,0.0,0.0,0.0,0.0,0.0,0.6274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09890000017342632
91141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89209,0.0,0.0,0.21139477814581675
108852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40706,0.0,0.0,0.69729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5660342708591839
73243,0.0,0.0,0.0,0.0,0.0,0.0,0.71025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
37454,0.86367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5405098957120857
79290,0.0,0.0,0.0,0.0,0.0,0.31894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1096029274478156
16972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3129270863247716
106540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47535930632777956
74223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83529,0.89927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6005706242755423
65350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61539,0.0,0.82986,0.0,0.51148,0.0,0.0,0.0,1.0,0.13409286097691894
93285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75062,0.62848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49796608020760635
98235,0.0,0.0,0.0,0.0,0.0,0.78844,0.0,0.0,0.0,0.8564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03575879200842959
45204,0.84505,0.0,0.0,0.0,0.0,0.0,0.0,0.33609,0.0,0.0,0.52914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5344572782774132
77277,0.0,0.0,0.0,0.0,0.0,0.0,0.80621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9969986043841997
73665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3251361333164273
57859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89831,0.0,0.0,0.47327,0.0,0.0,0.0,0.0,0.0,0.895461399331628
32650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5385436551857452
25598,0.0,0.0,0.0,0.0,0.0,0.0,0.81374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9969986043841997
16626,0.0,0.0,0.0,0.0,0.0,0.0,0.84425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9963793333574721
40919,0.0,0.0,0.80562,0.0,0.0,0.0,0.0,0.70377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4618210684900281
101116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34563,0.0,0.0,0.0,0.0,0.8518677742906506
51818,0.0,0.0,0.0,0.0,0.0,0.0,0.81154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9969986043841997
30240,0.0,0.0,0.0,0.0,0.0,0.0,0.46357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
95984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41783,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5564594282069237
111432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25177,0.0,0.0,0.0,1.0,0.7361905800129518
64526,0.0,0.0,0.0,0.0,0.0,0.79263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08221779489673287
80586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48558485755188335
51668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28346,0.0,1.0,0.5405098957120857
59338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13137721755368814
64399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6212375734758487
74765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70605,0.0,0.0,0.89154,0.0,0.0,0.0,0.0,1.0,0.7877030956828877
90739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5701726531941885
35804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84435,0.88118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46542268715027807
12855,0.0,0.0,0.0,0.0,0.0,0.0,0.82116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.997933183823452
43066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76085,0.0,0.0,0.0,0.0,0.0,0.51811,0.0,0.0,0.0,1.0,0.9115390684710093
19697,0.0,0.0,0.0,0.81353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14158769410869657
57015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6086086032624423
108361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32722,0.0,0.0,0.89143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6862637198232551
69491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86835,0.0,0.0,0.0,1.0,0.8221394648908845
30846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5904487019858887
31709,0.0,0.76426,0.0,0.0,0.0,0.35221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08186587769045686
100709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6311406383368608
71560,0.0,0.0,0.0,0.0,0.0,0.74927,0.0,0.0,0.0,0.46304,0.79836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18561310782241014
9373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5030296584353102
32747,0.0,0.0,0.0,0.0,0.0,0.0,0.87527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
